hour,solar_generation,demand,solar_used_direct,solar_to_battery,solar_exported,battery_discharged,grid_imported,battery_soc,hourly_cost,hourly_revenue,tariff_rate
0,0.14901424590336979,0.6911246268183748,0.14901424590336979,0.0,0.0,0.602344867683339,0.0,4.397655132316661,0.0,0.0,0.12
1,0.0,0.8307418635200402,0.0,0.0,0.0,0.9230465150222669,0.0,3.474608617294394,0.0,0.0,0.12
2,0.19430656143020775,0.604074295592662,0.19430656143020775,0.0,0.0,0.45529748240272694,0.0,3.0193111348916672,0.0,0.0,0.12
3,0.45690895692240757,0.9578574815137262,0.45690895692240757,0.0,0.0,0.5566094717681317,0.0,2.4627016631235357,0.0,0.0,0.12
4,0.0,0.8750281955921776,0.0,0.0,0.0,0.972253550657975,0.0,1.4904481124655606,0.0,0.0,0.12
5,0.0,1.241373569492361,0.0,0.0,0.0,0.49044811246556064,0.7999702682733565,1.0,0.14399464828920416,0.0,0.18
6,0.47376384465221744,1.7843329146505182,0.47376384465221744,0.0,0.0,0.0,1.3105690699983008,1.0,0.23590243259969412,0.0,0.18
7,1.783144689360997,2.894279992398802,1.783144689360997,0.0,0.0,0.0,1.1111353030378048,1.0,0.20000435454680487,0.0,0.18
8,2.859157684219514,2.5814201493481295,2.5814201493481295,0.27773753487138464,0.0,0.0,0.0,1.2499637813842461,0.0,0.0,0.18
9,4.405408700195075,1.8699087500912992,1.8699087500912992,2.535499950103776,0.0,0.0,0.0,3.5319137364776445,0.0,0.0,0.18
10,5.057127114862894,1.7454325296483646,1.7454325296483646,3.0,0.3116945852145294,0.0,0.0,6.231913736477645,0.0,0.024935566817162354,0.18
11,5.655836031663333,1.1174714020721739,1.1174714020721739,3.0,1.5383646295911593,0.0,0.0,8.931913736477645,0.0,0.12306917036729274,0.18
12,6.07258868146981,1.3513139103444658,1.3513139103444658,0.6312069594692835,4.090067811656061,0.0,0.0,9.5,0.0,0.3272054249324849,0.18
13,5.221570884337071,0.9008947197873507,0.9008947197873507,0.0,4.32067616454972,0.0,0.0,9.5,0.0,0.3456540931639776,0.18
14,4.6786770729527225,1.0058654476700903,1.0058654476700903,0.0,3.672811625282632,0.0,0.0,9.5,0.0,0.29382493002261056,0.18
15,4.073954428346994,1.2971578213918915,1.2971578213918915,0.0,2.776796606955102,0.0,0.0,9.5,0.0,0.22214372855640818,0.18
16,2.6961506638996724,1.461660239905548,1.461660239905548,0.0,1.2344904239941243,0.0,0.0,9.5,0.0,0.09875923391952995,0.18
17,1.6471884703937083,1.5952387380488926,1.5952387380488926,0.0,0.0519497323448157,0.0,0.0,9.5,0.0,0.004155978587585256,0.35
18,0.0,2.0537045815891424,0.0,0.0,0.0,2.2818939795434914,0.0,7.218106020456508,0.0,0.0,0.35
19,0.0,2.6180379493877473,0.0,0.0,0.0,2.9089310548752745,0.0,4.309174965581233,0.0,0.0,0.35
20,0.4396946306764662,2.6292956019265143,0.4396946306764662,0.0,0.0,2.432889968055609,0.0,1.8762849975256244,0.0,0.0,0.35
21,0.0,2.4222179128056496,0.0,0.0,0.0,0.8762849975256244,1.6335614150325877,1.0,0.5717464952614056,0.0,0.35
22,0.02025846140637715,1.768200132927117,0.02025846140637715,0.0,0.0,0.0,1.7479416715207399,1.0,0.20975300058248877,0.0,0.12
23,0.0,1.4662033089683757,0.0,0.0,0.0,0.0,1.4662033089683757,1.0,0.17594439707620507,0.0,0.12
